Timestamp,Team_ID,Player_ID,Event,Location_X,Location_Y,frame_id,confidence
0.0,0,1,movement,-4.204,-1.74,0,1.0
0.0,0,2,movement,-4.13,0.093,0,1.0
0.0,0,3,movement,-4.119,-0.716,0,1.0
0.0,0,4,movement,-4.156,-2.025,0,1.0
0.0,1,5,movement,-2.532,-5.057,0,1.0
0.0,0,6,movement,-4.266,-1.881,0,1.0
0.017,0,1,movement,-4.215,-1.711,1,1.0
0.017,0,2,movement,-4.129,0.115,1,1.0
0.017,0,3,movement,-4.129,-0.795,1,1.0
0.017,0,4,movement,-4.179,-2.164,1,1.0
0.017,0,6,movement,-4.27,-1.833,1,1.0
0.017,1,5,movement,-2.483,-5.124,1,1.0
0.033,1,1,movement,-4.196,-1.797,2,1.0
0.033,1,3,movement,-4.113,-0.807,2,1.0
0.033,1,6,movement,-4.281,-1.704,2,1.0
0.033,1,2,movement,-4.144,0.094,2,1.0
0.033,1,4,movement,-4.12,-2.07,2,1.0
0.033,0,5,movement,-2.484,-5.053,2,1.0
0.05,0,4,movement,-4.106,-2.161,3,1.0
0.05,0,1,movement,-4.168,-1.725,3,1.0
0.05,0,2,movement,-4.147,-0.075,3,1.0
0.05,1,5,movement,-2.485,-4.976,3,1.0
0.067,0,1,movement,-4.165,-1.721,4,1.0
0.067,0,2,movement,-4.146,-0.102,4,1.0
0.067,1,5,movement,-2.467,-5.002,4,1.0
0.067,0,4,movement,-4.12,-2.182,4,1.0
0.083,1,5,movement,-2.427,-5.05,5,1.0
0.083,0,1,movement,-4.146,-1.73,5,1.0
0.083,0,2,movement,-4.151,-0.119,5,1.0
0.083,1,4,movement,-4.11,-2.23,5,1.0
0.1,1,2,movement,-4.15,-0.126,6,1.0
0.1,0,1,movement,-4.115,-1.793,6,1.0
0.117,1,2,movement,-4.152,-0.154,7,1.0
0.117,0,1,movement,-4.102,-1.798,7,1.0
0.133,0,1,movement,-4.076,-1.821,8,1.0
0.133,0,2,movement,-4.155,-0.172,8,1.0
0.133,1,4,movement,-4.036,-2.329,8,1.0
0.15,1,1,movement,-4.064,-1.897,9,1.0
0.15,0,2,movement,-4.157,-0.155,9,1.0
0.167,0,1,movement,-4.038,-1.897,10,1.0
0.167,1,4,movement,-4.002,-2.475,10,1.0
0.167,0,3,movement,-4.13,-0.979,10,1.0
0.167,0,2,movement,-4.157,-0.16,10,1.0
0.183,1,2,movement,-4.166,-0.1,11,1.0
0.183,0,1,movement,-4.034,-1.891,11,1.0
0.183,1,3,movement,-4.125,-1.067,11,1.0
0.2,1,1,movement,-4.004,-1.967,12,1.0
